vx：108,vy: 112, n_blk: 1008, times:1.100000, 正确率：0.925926
vx：108,vy: 112, n_blk: 1008, times:1.200000, 正确率：0.962963
vx：108,vy: 112, n_blk: 1008, times:1.300000, 正确率：0.975309
vx：108,vy: 112, n_blk: 1008, times:1.400000, 正确率：0.938272
vx：108,vy: 112, n_blk: 1008, times:1.500000, 正确率：0.913580
vx：108,vy: 112, n_blk: 1008, times:1.600000, 正确率：0.888889
vx：108,vy: 112, n_blk: 1008, times:1.700000, 正确率：0.876543
vx：108,vy: 112, n_blk: 1008, times:1.800000, 正确率：0.839506
vx：108,vy: 112, n_blk: 1008, times:1.900000, 正确率：0.790123
vx：108,vy: 112, n_blk: 1008, times:2.000000, 正确率：0.777778
vx：108,vy: 112, n_blk: 1008, times:2.100000, 正确率：0.740741
vx：108,vy: 112, n_blk: 1008, times:2.200000, 正确率：0.728395
vx：108,vy: 112, n_blk: 1008, times:2.300000, 正确率：0.703704
vx：108,vy: 112, n_blk: 1008, times:2.400000, 正确率：0.629630
vx：108,vy: 112, n_blk: 1008, times:2.500000, 正确率：0.604938
vx：108,vy: 112, n_blk: 1008, times:2.600000, 正确率：0.604938
vx：108,vy: 112, n_blk: 1008, times:2.700000, 正确率：0.567901
vx：108,vy: 112, n_blk: 1008, times:2.800000, 正确率：0.530864
vx：108,vy: 112, n_blk: 1008, times:2.900000, 正确率：0.530864
vx：108,vy: 112, n_blk: 1008, times:3.000000, 正确率：0.518519
vx：108,vy: 126, n_blk: 896, times:1.100000, 正确率：0.913580
vx：108,vy: 126, n_blk: 896, times:1.200000, 正确率：0.962963
vx：108,vy: 126, n_blk: 896, times:1.300000, 正确率：0.975309
vx：108,vy: 126, n_blk: 896, times:1.400000, 正确率：0.938272
vx：108,vy: 126, n_blk: 896, times:1.500000, 正确率：0.925926
vx：108,vy: 126, n_blk: 896, times:1.600000, 正确率：0.913580
vx：108,vy: 126, n_blk: 896, times:1.700000, 正确率：0.876543
vx：108,vy: 126, n_blk: 896, times:1.800000, 正确率：0.864198
vx：108,vy: 126, n_blk: 896, times:1.900000, 正确率：0.802469
vx：108,vy: 126, n_blk: 896, times:2.000000, 正确率：0.790123
vx：108,vy: 126, n_blk: 896, times:2.100000, 正确率：0.765432
vx：108,vy: 126, n_blk: 896, times:2.200000, 正确率：0.728395
vx：108,vy: 126, n_blk: 896, times:2.300000, 正确率：0.716049
vx：108,vy: 126, n_blk: 896, times:2.400000, 正确率：0.691358
vx：108,vy: 126, n_blk: 896, times:2.500000, 正确率：0.617284
vx：108,vy: 126, n_blk: 896, times:2.600000, 正确率：0.604938
vx：108,vy: 126, n_blk: 896, times:2.700000, 正确率：0.592593
vx：108,vy: 126, n_blk: 896, times:2.800000, 正确率：0.543210
vx：108,vy: 126, n_blk: 896, times:2.900000, 正确率：0.530864
vx：108,vy: 126, n_blk: 896, times:3.000000, 正确率：0.530864
vx：108,vy: 144, n_blk: 784, times:1.100000, 正确率：0.913580
vx：108,vy: 144, n_blk: 784, times:1.200000, 正确率：0.975309
vx：108,vy: 144, n_blk: 784, times:1.300000, 正确率：0.962963
vx：108,vy: 144, n_blk: 784, times:1.400000, 正确率：0.938272
vx：108,vy: 144, n_blk: 784, times:1.500000, 正确率：0.925926
vx：108,vy: 144, n_blk: 784, times:1.600000, 正确率：0.913580
vx：108,vy: 144, n_blk: 784, times:1.700000, 正确率：0.888889
vx：108,vy: 144, n_blk: 784, times:1.800000, 正确率：0.876543
vx：108,vy: 144, n_blk: 784, times:1.900000, 正确率：0.827160
vx：108,vy: 144, n_blk: 784, times:2.000000, 正确率：0.790123
vx：108,vy: 144, n_blk: 784, times:2.100000, 正确率：0.777778
vx：108,vy: 144, n_blk: 784, times:2.200000, 正确率：0.740741
